School,State,Region,SAT-25,SAT-75,ACT-25,ACT-75,Average-GPA,Acceptance-Rate
The-University-of-Alabama,Alabama,South,1060,1280,22,31,3.6,54%
Birmingham-Southern-College,Alabama,South,1060,1270,23,29,3.48,53%
Spring-Hill-College,Alabama,South,1070,1270,22,27,3.45,41%
University-of-Alabama-at-Birmingham,Alabama,South,1120,1360,22,28,3.62,60%
Auburn-University,Alabama,South,1150,1350,24,30,3.74,78%
Samford-University,Alabama,South,1080,1290,23,29,3.68,93%
Huntingdon-College,Alabama,South,970,1190,19,23,3.37,58%
University-of-Alabama-at-Huntsville,Alabama,South,1140,1390,24,30,3.64,81%
University-of-Mobile,Alabama,South,930,1190,19,25,3.34,61%
University-of-Montevallo,Alabama,South,1030,1250,20,26,3.35,70%
Jacksonville-State-University,Alabama,South,970,1170,20,26,3.18,67%
University-of-North-Alabama,Alabama,South,890,1170,19,25,3.12,58%
Tuskegee-University,Alabama,South,910,1110,18,23,3.1,53%
Faulkner-University,Alabama,South,960,1110,18,24,3.13,57%
Oakwood-University,Alabama,South,870,1120,17,22,3.03,47%
University-of-South-Alabama,Alabama,South,960,1190,20,25,3.4,78%
Troy-University,Alabama,South,940,1150,19,26,-1,92%
Alabama-State-University,Alabama,South,820,990,16,19,2.89,46%
Stillman-College,Alabama,South,760,1010,14,21,-1,57%
University-of-West-Alabama,Alabama,South,880,1170,18,21,-1,73%
Alabama-A-&-M-University,Alabama,South,820,1030,16,19,-1,65%
Auburn-University-at-Montgomery,Alabama,South,1000,1130,19,23,3.21,79%
Concordia-College-Selma,Alabama,South,-1,-1,-1,-1,-1,40%
Herzing-University-Birmingham,Alabama,South,-1,-1,-1,-1,-1,95%
Alaska-Pacific-University,Alaska,West,910,1170,17,26,-1,39%
University-of-Alaska-Fairbanks,Alaska,West,1030,1280,18,26,3.19,73%
University-of-Alaska-Anchorage,Alaska,West,-1,-1,-1,-1,-1,71%
University-of-Alaska-Southeast,Alaska,West,-1,-1,-1,-1,3.02,49%
Arizona-State-University,Arizona,West,1110,1330,23,28,3.42,83%
Prescott-College,Arizona,West,990,1230,19,27,3.11,70%
